,Date,User,Tweet
32,2022-10-05 14:30:06+00:00,ZARA,"KAIA GERBER presents her collection for ZARA. With more than thirty pieces, among which are garments, shoes, and accessories, it is a collection of “new classics” that incorporate timeless silhouettes and reinterpreted key pieces 
#kaiagerberxzara https://t.co/2Q7WULoHOR https://t.co/u7yeoFrwpN"
33,2022-10-05 13:54:28+00:00,ZARA,KAIA GERBER presents her collection for ZARA #kaiagerberxzara https://t.co/2Q7WULoHOR https://t.co/6xDLHLd0Jk
34,2022-10-04 16:00:11+00:00,ZARA,"KAIA GERBER for ZARA. Through her collection, Kaia pays homage to the place where she was born and raised, the American West. A complete declaration of love for the land. The hallmarks of ‘90s style are also very much present.
#kaiagerberxzara https://t.co/2Q7WUL7EMR https://t.co/vMNDAepx2b"
35,2022-10-04 13:01:06+00:00,ZARA,"KAIA GERBER for ZARA. With more than thirty pieces, among which are garments, shoes, and accessories, it is a collection of “new classics” that incorporate timeless silhouettes and reinterpreted key pieces 
Film by Fabien Baron
#kaiagerberxzara https://t.co/2Q7WUL7EMR https://t.co/hYHYwEH930"
36,2022-10-04 09:07:43+00:00,ZARA,"KAIA GERBER presents her collection for ZARA. Photographs by Fabien Baron 
#kaiagerberxzara https://t.co/2Q7WUL7EMR https://t.co/kTf5NOxt5O"
37,2022-09-27 17:10:02+00:00,ZARA,"Following the principles of the circular economy, this denim collection is designed with its whole life cycle in mind.
The Ellen MacArthur Foundation works to accelerate the transition to a circular economy to mobilize systems solutions at scale, globally.
https://t.co/2huApMR2PV https://t.co/fFhxd0NsAW"
38,2022-09-27 13:00:17+00:00,ZARA,"THE JEANS REDESIGN X ZARA 
To ensure denim can be recycled, the fabrics used to make this collection include a minimum of 98% cellulose-based fibres.
https://t.co/2huApMR2PV https://t.co/1tOaDrvRNb"
39,2022-09-27 10:15:37+00:00,ZARA,"The Jeans Redesign is a project by the Ellen MacArthur Foundation. Insights were gathered from more than 80 industry experts to collaboratively define guidelines to design and make jeans fit for a circular economy, today.
https://t.co/2huApMR2PV https://t.co/ru5UA9h6rQ"
40,2022-09-26 17:00:08+00:00,ZARA,"ELIE TOP x Zara. Limited accessories collection. Strong lines and solid volumes, with baroque and futurist accents. https://t.co/ujhycUO8hN https://t.co/N98I6TyXxe"
41,2022-09-26 13:00:08+00:00,ZARA,ELIE TOP x Zara. Limited accessories collection. A fine balance between tradition and innovation. https://t.co/ujhycUO8hN https://t.co/GbLY1qGvyA
